fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2024-2025,Dec,15,KARNATAKA,1505,BALLARI,5369975,284.112517628287,51,2035,2089.617211861,9567,0,8057,5212787,1024059,69691,1634518,97979,477.32602,17377.1236161611,100998,218816,115967,333138,1011,170151,479286,17624,14810.1803843001,2816820,44,39.72,32.46,99.92,NA
2024-2025,Dec,15,KARNATAKA,1507,VIJAYPURA,3453504,346.30134770174,39,1181,4025.502311813,21389,1,33099,3122731,567067,66199,59410,5962,754.79575,15594.357599913,80069,123557,154251,327018,925,351446,772174,54488,10814.0595381,1653745,73,57.92,23.93,99.97,NA
2024-2025,Dec,15,KARNATAKA,1514,GADAG,2959435,331.944943197605,31,1113,2523.06576808801,25739,0,11425,2749708,434242,55859,236838,25847,469.29284,12119.875266788,88439,187068,122560,310990,138,165148,393271,37164,9127.51665870001,1375755,71,19.54,64.89,99.94,NA
2024-2025,Dec,15,KARNATAKA,1517,HAVERI,3902654,336.27516587284,40,471,6298.31007632699,29505,0,20373,3309071,474794,54858,436835,44064,542.2805,17968.174570427,82582,153256,155181,377371,605,273136,621065,49878,11127.5839941001,1613639,69,34.87,33.2,100.25,NA
2024-2025,Dec,15,KARNATAKA,1523,RAICHUR,8910484,277.134383650925,42,1061,7516.36897814601,33608,0,32046,9928781,1770271,125070,2386156,154408,928.20897,35960.6439765462,233487,457686,283300,658555,868,373461,838051,65654,27516.0660284002,5186263,61,24.5,56.7,99.85,NA
2024-2025,Dec,15,KARNATAKA,1524,SHIVAMOGGA,2424119,325.693663706671,26,492,2761.271278135,15194,0,10378,1922976,438421,84189,105527,18669,586.44478,9610.727044735,72190,122961,146156,374282,166,248555,570424,25572,6263.0109866,1051427,76,38.79,39.51,100.07,NA
2024-2025,Dec,15,KARNATAKA,1527,UTTARA KANNADA,1396296,343.264677808895,31,120,2474.739436914,13776,0,18779,1266174,74968,14922,48833,8084,455.39775,7276.465288514,39662,66900,88876,222929,115,204756,453052,32555,4346.3281016,685106,79,33.67,24.92,100.02,NA
2024-2025,Dec,15,KARNATAKA,1529,RAMANAGARA,3570787,347.481802129272,44,277,7814.96120836394,34094,1,25768,3006094,422325,50326,47209,5228,535.02513,18795.6159432639,66851,110074,141401,312565,527,201321,428373,59862,10445.6296048999,1607644,83,44.6,26.22,99.94,NA
2024-2025,Dec,15,KARNATAKA,1530,Yadgir,3927400,339.330826681525,31,518,1203.893275666,37508,0,24889,2979140,563068,65984,361228,36543,0,11313.033665666,93631,145026,155058,308786,236,275346,547341,62397,10109.14039,1570389,80,51.98,41.3,99.89,NA
2024-2025,Dec,15,KARNATAKA,1501,BAGALKOTE,4191276,321.05685956422,35,1993,3305.324586745,13692,0,17027,3292594,550716,59378,261392,26187,646.11208,14522.5355613449,91573,156401,154281,340053,618,275515,558901,30719,10571.0988945999,1824301,59,31.65,48.96,100,NA
2024-2025,Dec,15,KARNATAKA,1502,BENGALURU,83283,324.889878532378,37,13,85.238654288,1081,3,1812,51948,10675,2781,886,287,42.86228,296.874728388,1385,2357,6105,13789,16,62877,140714,2893,168.7737941,28805,85,51.64,18.03,100.65,NA
2024-2025,Dec,15,KARNATAKA,1517,HAVERI,3902654,336.913706584995,40,469,5954.490514929,29503,0,20357,3299320,473540,54841,436148,44053,542.2805,17612.6323190291,82454,153001,155158,377304,603,273129,621056,49860,11115.8613041001,1608874,69,34.9,33.15,100.25,NA
2024-2025,Dec,15,KARNATAKA,1525,TUMAKURU,4052708,346.337764749978,42,549,9157.747551703,57634,0,40535,4610312,649278,80750,377931,41372,847.66052,25972.659600503,107581,188390,215576,512430,1326,400628,883622,98169,15967.2515288,2366556,83,38.78,32.5,99.94,NA
2024-2025,Dec,15,KARNATAKA,1527,UTTARA KANNADA,1396296,342.402019554777,31,120,2250.379356957,13766,0,18758,1260357,74469,14906,48376,8072,455.39775,7021.264928557,39523,66686,88845,222847,115,204753,453039,32524,4315.4878216,681589,79,33.71,24.93,100.02,NA
2024-2025,Nov,15,KARNATAKA,1505,BALLARI,5290927,283.542232801051,51,2029,1719.875058286,8487,0,8525,5143817,1012031,69686,1610935,97939,434.43841,16739.2070412861,100668,218073,115908,333045,909,169883,478804,17012,14584.8935730001,2781930,44,39.72,33.54,99.91,NA
2024-2025,Nov,15,KARNATAKA,1510,CHITRADURGA,3887134,346.697293004965,40,383,8580.45092472901,37334,0,29247,4200765,824558,88809,1011583,87763,537.18699,23681.576455229,104895,174364,173634,417011,388,333362,781243,66581,14563.9385405,2303869,66,28.32,43.45,101.17,NA
2024-2025,Nov,15,KARNATAKA,1515,KALABURAGI,4538154,326.149462374414,25,546,4702.734622007,23406,0,32456,3644302,910489,137862,80322,10834,628.53187,17217.137872307,142389,239381,245071,533662,146,425552,884841,55862,11885.8713803,2017728,64,30.3,52.98,99.89,NA
2024-2025,Nov,15,KARNATAKA,1520,KOPPAL,6380429,306.016282081625,34,3225,3679.412617142,17689,0,25439,6163769,1075450,98017,907641,80322,724.52405,23266.0733970418,178105,369086,224203,576382,376,325409,844630,43128,18862.1367298997,3246515,57,29.1,58.2,99.89,NA
2024-2025,Nov,15,KARNATAKA,1527,UTTARA KANNADA,1275096,344.668562889375,29,107,2073.095489436,10052,0,19862,1080898,64590,14804,42882,8020,411.33926,6209.950352336,36359,61008,88052,221036,66,204449,452516,29914,3725.5156029,586269,79,32.91,26.24,100.01,NA
2024-2025,Nov,15,KARNATAKA,1531,VIJAYANAGARA,6049984,308.15535264524,43,1235,5354.95455471801,16746,0,17284,5718651,1382698,115143,1287365,93599,81.19368,23058.4773903186,130014,249633,174330,460452,1438,250683,646542,34030,17622.3291556006,2966402,54,14.86,63.19,100.19,NA
2024-2025,Nov,15,KARNATAKA,1506,BIDAR,3809246,344.917465174102,40,482,8312.289984336,23032,0,44517,4495792,1044555,79179,816068,53263,519.57184,24338.6336302361,109682,170882,155699,305422,343,256238,478655,67549,15506.7718059001,2444195,60,36.87,26.76,99.83,NA
2024-2025,Nov,15,KARNATAKA,1511,DAKSHINA KANNADA,1081782,346.558635037422,41,48,970.239300454999,10701,0,11404,796183,41085,10605,46428,10638,292.26749,4021.747727655,18997,32351,65625,152607,226,170267,357942,22105,2759.2409372,414751,90,72.2,3.5,99.98,NA
2024-2025,Nov,15,KARNATAKA,1512,DAVANAGERE,2474082,339.910052247329,32,234,4115.274031848,14213,0,10691,1715303,434669,64739,308649,43999,490.73691,10436.498265348,52251,89358,120026,280979,278,238711,522171,24904,5830.4873235,910821,76,36.53,33.76,99.92,NA
2024-2025,Nov,15,KARNATAKA,1522,MYSURU,1838324,347.342277357097,35,129,4292.55469729903,24597,0,26012,1623957,292896,70898,193377,42195,385.57388,10318.817804399,45363,80411,143077,366024,370,347121,847697,50609,5640.6892271,833141,80,38.32,20.71,100.09,NA
